measure,value,low,high
Elo model RPS,0.19808331264679696,0.19424968522361094,0.20185753315421245
Bookmaker RPS,0.1948098408555764,0.19130454627126336,0.19831311862278345
Elo minus bookmakers,0.0032734717912196944,0.0022179381335921044,0.004318502590709871
