date,season,team,opponent,venue,elo_before,elo_after
2022-10-01,2022-23,Arsenal,Tottenham,H,1700.1020345266668,1710.9825518801665
2022-10-09,2022-23,Arsenal,Liverpool,H,1710.9825518801665,1719.8887887142457
2022-10-16,2022-23,Arsenal,Leeds,A,1719.8887887142457,1723.9383471718995
2022-10-23,2022-23,Arsenal,Southampton,A,1723.9383471718995,1722.2750732730965
2022-10-30,2022-23,Arsenal,Nott'm Forest,H,1722.2750732730965,1728.3188605618404
2022-11-06,2022-23,Arsenal,Chelsea,A,1728.3188605618404,1736.2023432676242
2022-11-12,2022-23,Arsenal,Wolves,A,1736.2023432676242,1741.7552118665533
2022-12-26,2022-23,Arsenal,West Ham,H,1741.7552118665533,1746.4344945436417
2022-12-31,2022-23,Arsenal,Brighton,A,1746.4344945436417,1755.267300370319
2023-01-03,2022-23,Arsenal,Newcastle,H,1755.267300370319,1753.8511598102227
2023-01-15,2022-23,Arsenal,Tottenham,A,1753.8511598102227,1766.2814342549234
2023-01-22,2022-23,Arsenal,Man United,H,1766.2814342549234,1770.403848772785
2023-02-04,2022-23,Arsenal,Everton,A,1770.403848772785,1758.6325910295502
2023-02-11,2022-23,Arsenal,Brentford,H,1758.6325910295502,1756.7131461114568
2023-02-15,2022-23,Arsenal,Man City,H,1756.7131461114568,1747.283955768105
2023-02-18,2022-23,Arsenal,Aston Villa,A,1747.283955768105,1754.4362280550695
2023-02-25,2022-23,Arsenal,Leicester,A,1754.4362280550695,1759.466380118399
2023-03-01,2022-23,Arsenal,Everton,H,1759.466380118399,1763.9305429979725
2023-03-04,2022-23,Arsenal,Bournemouth,H,1763.9305429979725,1765.218792334146
2023-03-12,2022-23,Arsenal,Fulham,A,1765.218792334146,1773.9132050004355
2023-03-19,2022-23,Arsenal,Crystal Palace,H,1773.9132050004355,1778.1906122947794
2023-04-01,2022-23,Arsenal,Leeds,H,1778.1906122947794,1781.9889837572593
2023-04-09,2022-23,Arsenal,Liverpool,A,1781.9889837572593,1782.6091059122439
2023-04-16,2022-23,Arsenal,West Ham,A,1782.6091059122439,1781.113970858603
2023-04-21,2022-23,Arsenal,Southampton,H,1781.113970858603,1778.5212762659269
2023-04-26,2022-23,Arsenal,Man City,A,1778.5212762659269,1770.6114232207706
2023-05-02,2022-23,Arsenal,Chelsea,H,1770.6114232207706,1775.8190217459587
2023-05-07,2022-23,Arsenal,Newcastle,A,1775.8190217459587,1787.0402424899044
2023-05-14,2022-23,Arsenal,Brighton,H,1787.0402424899044,1759.9001593420207
2023-05-20,2022-23,Arsenal,Nott'm Forest,A,1759.9001593420207,1748.122622782735
2023-05-28,2022-23,Arsenal,Wolves,H,1748.122622782735,1755.9422727837464
2023-08-12,2023-24,Arsenal,Nott'm Forest,H,1743.145159144559,1744.6746095624353
2023-08-21,2023-24,Arsenal,Crystal Palace,A,1744.6746095624353,1749.1346224920512
2023-08-26,2023-24,Arsenal,Fulham,H,1749.1346224920512,1747.0053158008589
2023-09-03,2023-24,Arsenal,Man United,H,1747.0053158008589,1754.1237885169276
2023-09-17,2023-24,Arsenal,Everton,A,1754.1237885169276,1756.9343668013405
2023-09-24,2023-24,Arsenal,Tottenham,H,1756.9343668013405,1755.658270633656
2023-09-30,2023-24,Arsenal,Bournemouth,A,1755.658270633656,1763.573670478585
2023-10-08,2023-24,Arsenal,Man City,H,1763.573670478585,1772.209087477811
2023-10-21,2023-24,Arsenal,Chelsea,A,1772.209087477811,1771.3268841618053
2023-10-28,2023-24,Arsenal,Sheffield United,H,1771.3268841618053,1775.1935476163667
2023-11-04,2023-24,Arsenal,Newcastle,A,1775.1935476163667,1768.1520357203187
2023-11-11,2023-24,Arsenal,Burnley,H,1768.1520357203187,1769.8177878640113
2023-11-25,2023-24,Arsenal,Brentford,A,1769.8177878640113,1774.910620246124
2023-12-02,2023-24,Arsenal,Wolves,H,1774.910620246124,1776.5613332629566
2023-12-05,2023-24,Arsenal,Luton,A,1776.5613332629566,1778.7642252449955
2023-12-09,2023-24,Arsenal,Aston Villa,A,1778.7642252449955,1770.6972435362163
2023-12-17,2023-24,Arsenal,Brighton,H,1770.6972435362163,1776.0587255286928
2023-12-23,2023-24,Arsenal,Liverpool,A,1776.0587255286928,1777.0111910181438
2023-12-28,2023-24,Arsenal,West Ham,H,1777.0111910181438,1757.1838630504249
2023-12-31,2023-24,Arsenal,Fulham,A,1757.1838630504249,1746.503202190788
2024-01-20,2023-24,Arsenal,Crystal Palace,H,1746.503202190788,1754.9178157272813
2024-01-30,2023-24,Arsenal,Nott'm Forest,A,1754.9178157272813,1757.7201617302674
2024-02-04,2023-24,Arsenal,Liverpool,H,1757.7201617302674,1770.179908944674
2024-02-11,2023-24,Arsenal,West Ham,A,1770.179908944674,1791.4596635853047
2024-02-17,2023-24,Arsenal,Burnley,A,1791.4596635853047,1799.0527434435785
2024-02-24,2023-24,Arsenal,Newcastle,H,1799.0527434435785,1806.9287604220735
2024-03-04,2023-24,Arsenal,Sheffield United,A,1806.9287604220735,1813.1813263343
2024-03-09,2023-24,Arsenal,Brentford,H,1813.1813263343,1814.8900171031448
2024-03-31,2023-24,Arsenal,Man City,A,1814.8900171031448,1816.1891537983595
2024-04-03,2023-24,Arsenal,Luton,H,1816.1891537983595,1817.7515135601247
2024-04-06,2023-24,Arsenal,Brighton,A,1817.7515135601247,1827.7360718512227
2024-04-14,2023-24,Arsenal,Aston Villa,H,1827.7360718512227,1808.6040949775274
2024-04-20,2023-24,Arsenal,Wolves,A,1808.6040949775274,1813.7290636228297
2024-04-23,2023-24,Arsenal,Chelsea,H,1813.7290636228297,1824.0217048423515
2024-04-28,2023-24,Arsenal,Tottenham,A,1824.0217048423515,1829.105272675476
2024-05-04,2023-24,Arsenal,Bournemouth,H,1829.105272675476,1832.565497103963
2024-05-12,2023-24,Arsenal,Man United,A,1832.565497103963,1836.6892838021695
2024-05-19,2023-24,Arsenal,Everton,H,1836.6892838021695,1838.009626109487
2024-08-17,2024-25,Arsenal,Wolves,H,1821.1091448040127,1823.3021192730591
2024-08-24,2024-25,Arsenal,Aston Villa,A,1823.3021192730591,1831.0189222781419
2024-08-31,2024-25,Arsenal,Brighton,H,1831.0189222781419,1828.8260056783777
2024-09-15,2024-25,Arsenal,Tottenham,A,1828.8260056783777,1833.4421777745072
2024-09-22,2024-25,Arsenal,Man City,A,1833.4421777745072,1834.7585346611352
2024-09-28,2024-25,Arsenal,Leicester,H,1834.7585346611352,1836.26116611685
2024-10-05,2024-25,Arsenal,Southampton,H,1836.26116611685,1837.5359936314167
2024-10-19,2024-25,Arsenal,Bournemouth,A,1837.5359936314167,1818.007908129199
2024-10-27,2024-25,Arsenal,Liverpool,H,1818.007908129199,1817.4806583912632
2024-11-02,2024-25,Arsenal,Newcastle,A,1817.4806583912632,1808.3359939799818
2024-11-10,2024-25,Arsenal,Chelsea,A,1808.3359939799818,1807.818131360267
2024-11-23,2024-25,Arsenal,Nott'm Forest,H,1807.818131360267,1811.3180416265038
2024-11-30,2024-25,Arsenal,West Ham,A,1811.3180416265038,1818.734546278067
2024-12-04,2024-25,Arsenal,Man United,H,1818.734546278067,1822.830630267714
2024-12-08,2024-25,Arsenal,Fulham,A,1822.830630267714,1821.2853836213687
2024-12-14,2024-25,Arsenal,Everton,H,1821.2853836213687,1818.8309803807367
2024-12-21,2024-25,Arsenal,Crystal Palace,A,1818.8309803807367,1830.2501847880042
2024-12-27,2024-25,Arsenal,Ipswich,H,1830.2501847880042,1831.0450518621415
2025-01-01,2024-25,Arsenal,Brentford,A,1831.0450518621415,1836.1810485809162
2025-01-04,2024-25,Arsenal,Brighton,A,1836.1810485809162,1834.6297024940172
2025-01-15,2024-25,Arsenal,Tottenham,H,1834.6297024940172,1837.369698924788
2025-01-18,2024-25,Arsenal,Aston Villa,H,1837.369698924788,1835.3519923711742
2025-01-25,2024-25,Arsenal,Wolves,A,1835.3519923711742,1837.323682072796
2025-02-02,2024-25,Arsenal,Man City,H,1837.323682072796,1856.268794024724
2025-02-15,2024-25,Arsenal,Leicester,A,1856.268794024724,1858.3034582809232
2025-02-22,2024-25,Arsenal,West Ham,H,1858.3034582809232,1845.1015611978262
2025-02-26,2024-25,Arsenal,Nott'm Forest,A,1845.1015611978262,1843.538087606876
2025-03-09,2024-25,Arsenal,Man United,A,1843.538087606876,1841.815614885695
2025-03-16,2024-25,Arsenal,Chelsea,H,1841.815614885695,1844.6130048692332
2025-04-01,2024-25,Arsenal,Fulham,H,1844.6130048692332,1846.4380472659743
2025-04-05,2024-25,Arsenal,Everton,A,1846.4380472659743,1844.5107753897914
2025-04-12,2024-25,Arsenal,Brentford,H,1844.5107753897914,1842.2466466838048
2025-04-20,2024-25,Arsenal,Ipswich,A,1842.2466466838048,1846.5080256166025
2025-04-23,2024-25,Arsenal,Crystal Palace,H,1846.5080256166025,1844.2986842621485
2025-05-03,2024-25,Arsenal,Bournemouth,H,1844.2986842621485,1831.9735075888523
2025-05-11,2024-25,Arsenal,Liverpool,A,1831.9735075888523,1832.8220428936622
